hgnc_symbol	hgnc_id
ICE2P1	HGNC:48856
LINC01060	HGNC:49081
LINC01015	HGNC:48988
OR2B3	HGNC:8238
LAIR1	HGNC:6477
MTX1P1	HGNC:7505
RPL7AP27	HGNC:36806
SCAMP3	HGNC:10565
LST1	HGNC:14189
DENND11	HGNC:29472
LMNTD2-AS1	HGNC:41204
RASSF7	HGNC:1166
NLRP7	HGNC:22947
RPS9	HGNC:10442
PCGF7P	HGNC:30341
ZNF729	HGNC:32464
ZNF676	HGNC:20429
GBA	HGNC:4177
ZNF92P2	HGNC:39554
MTDHP5	HGNC:52361
VN1R85P	HGNC:37405
BNIP3P31	HGNC:49711
BNIP3P30	HGNC:49710
LILRA2	HGNC:6603
SSBP1	HGNC:11317
DLL1	HGNC:2908
CDHR5	HGNC:7521
OR8U9	HGNC:29166
OR8J2	HGNC:15311
FAM8A2P	HGNC:16373
NAA50P1	HGNC:55920
OSCAR	HGNC:29960
OR8U8	HGNC:27538
OR8L1P	HGNC:15316
OR5T3	HGNC:15297
OR5T2	HGNC:15296
LINC01624	HGNC:52051
OR8K2P	HGNC:14832
OR8I1P	HGNC:14828
OR8K3	HGNC:15313
OR8H1	HGNC:14824
OR5T1	HGNC:14821
RPL5P29	HGNC:36335
OR8K1	HGNC:14831
OR8J1	HGNC:14855
SMN1	HGNC:11117
TFPT	HGNC:13630
OR2J3	HGNC:8261
HLA-H	HGNC:4965
MICB	HGNC:7091
LINC02197	HGNC:53063
DEFB104B	HGNC:26165
AGK	HGNC:21869
SERF1A	HGNC:10755
DEFB105B	HGNC:29930
PRPF31	HGNC:15446
PRR23D1	HGNC:49420
WEE2	HGNC:19684
DEFB4B	HGNC:30193
FAM90A7	HGNC:32255
LILRB1	HGNC:6605
DEFB103B	HGNC:31702
DEFB108C	HGNC:30847
FAM90A22	HGNC:32270
OR7E157P	HGNC:31231
HSPD1P3	HGNC:5264
FAM90A21P	HGNC:32269
ZNF705G	HGNC:37134
NDUFA3	HGNC:7686
HCN3	HGNC:19183
DEFB107B	HGNC:31918
OR2U2P	HGNC:8279
TRIM10	HGNC:10072
FAM90A6P	HGNC:32254
SPAG11B	HGNC:14534
SCT	HGNC:10607
FAM189B	HGNC:1233
PTDSS2	HGNC:15463
DEFB106B	HGNC:28879
MICG	HGNC:16802
RNF39	HGNC:18064
FAM66B	HGNC:28890
FAM90A23	HGNC:32271
ZNF90P2	HGNC:21687
MUC21	HGNC:21661
HCG15	HGNC:18361
TRIM31-AS1	HGNC:39761
TNF	HGNC:11892
OR11A1	HGNC:8176
LINC03015	HGNC:56143
PRAMEF5	HGNC:27995
FAM20C	HGNC:22140
MOG	HGNC:7197
LINC03014	HGNC:56142
PRAMEF22	HGNC:34393
PRAMEF18	HGNC:30693
BTG3-AS1	HGNC:53145
BTG3	HGNC:1132
PRAMEF8	HGNC:24074
LILRA5	HGNC:16309
HNRNPCL2	HGNC:48813
RPS17P1	HGNC:13982
OR5V1	HGNC:13972
PRAMEF25	HGNC:49179
MICD	HGNC:7093
OR2G1P	HGNC:8251
WASF5P	HGNC:21665
PTMAP1	HGNC:9624
HLA-V	HGNC:23482
HNRNPCL4	HGNC:51333
PRAMEF33	HGNC:49193
PRAMEF9	HGNC:27996
LY6G6F	HGNC:13933
MYL6P5	HGNC:51646
TMEM183AP1	HGNC:33458
PSORS1C1	HGNC:17202
HLA-T	HGNC:23478
HLA-DRA	HGNC:4947
PPP1R11	HGNC:9285
BTNL2	HGNC:1142
TOMM40P4	HGNC:54633
CDRT15P3	HGNC:33824
RPL7P4	HGNC:21634
RPL7AP7	HGNC:21395
LTB	HGNC:6711
CEACAM4	HGNC:1816
LINC01556	HGNC:21195
TMPOP1	HGNC:21364
PSMB9	HGNC:9546
CEACAMP3	HGNC:1825
PLEKHA3P1	HGNC:19648
DNAJC19P2	HGNC:45065
CEACAM21	HGNC:28834
LILRA3	HGNC:6604
GOLGA6L24P	HGNC:55710
FAM189A1	HGNC:29075
ATP23	HGNC:29452
GABBR1	HGNC:4070
DNAJC19P3	HGNC:45066
TPM3P5	HGNC:39168
RNA5-8SN4	HGNC:53529
LINC01480	HGNC:51124
CEACAM7	HGNC:1819
PTPRN2	HGNC:9677
MPHOSPH10P7	HGNC:55694
IFITM4P	HGNC:21669
LINC02403	HGNC:53330
APBA2	HGNC:579
GIHCG	HGNC:52649
RN7SKP65	HGNC:45789
LILRB2	HGNC:6606
HLA-G	HGNC:4964
KIR3DX1	HGNC:25043
LILRA6	HGNC:15495
ZFP57	HGNC:18791
OR2H5P	HGNC:8256
GPR53P	HGNC:4509
OR2J2	HGNC:8260
HLA-DRB9	HGNC:4957
MSH5-SAPCD1	HGNC:41994
PHLDA2	HGNC:12385
CARS1	HGNC:1493
FAM138D	HGNC:33583
IQSEC3	HGNC:29193
CTSO	HGNC:2542
HERC2	HGNC:4868
MROH5	HGNC:42976
SPPL2C	HGNC:28902
ASIC5	HGNC:17537
RPS7P11	HGNC:35841
TDO2	HGNC:11708
MAS1LP1	HGNC:33448
LINC01300	HGNC:50460
HCG4	HGNC:21241
DDX11L8	HGNC:37101
SUMO2P1	HGNC:13985
MDC1-AS1	HGNC:39764
ZNRD1ASP	HGNC:13924
HNRNPA1P38	HGNC:48767
PTP4A3	HGNC:9636
SLC39A11	HGNC:14463
KANSL1-AS1	HGNC:43740
WHAMMP2	HGNC:32360
IQSEC3-AS1	HGNC:56002
MAPK8IP1P2	HGNC:52402
WASH8P	HGNC:53913
NSFP1	HGNC:31405
RPL32P1	HGNC:10339
OR2J1	HGNC:8259
SLC5A8	HGNC:19119
WNT3	HGNC:12782
ABCB10P3	HGNC:31129
DDX39BP1	HGNC:33450
HCG4P8	HGNC:22927
GOLGA8G	HGNC:25328
DHX16	HGNC:2739
GPR20	HGNC:4475
DND1P1	HGNC:31444
ANO4	HGNC:23837
ARHGAP27	HGNC:31813
APOM	HGNC:13916
MAMDC2-AS1	HGNC:48719
MAMDC2	HGNC:23673
HLA-K	HGNC:4969
HSPA1B	HGNC:5233
HERC2P1	HGNC:4869
HSP90AA4P	HGNC:5255
OCA2	HGNC:8101
C4B_2	HGNC:42398
RPH3AL-AS2	HGNC:56089
RPH3AL-AS1	HGNC:55345
RPH3AL	HGNC:10296
RPL5P32	HGNC:36973
PDCD6IPP2	HGNC:49873
ABCB10P4	HGNC:31130
GOLGA8M	HGNC:44404
NSMCE3	HGNC:7677
HERC2P9	HGNC:30495
RPL41P2	HGNC:10357
GOLGA6L25P	HGNC:55711
GOLGA8F	HGNC:32378
OR2U1P	HGNC:8278
LINC00533	HGNC:18690
MUC2	HGNC:7512
MAPT-IT1	HGNC:43741
CHRFAM7A	HGNC:15781
APBA1	HGNC:578
OR2H4P	HGNC:8255
TRIM26BP	HGNC:31338
SERPINF1	HGNC:8824
WNT9B	HGNC:12779
RPSAP2	HGNC:18771
PPP1R10	HGNC:9284
SCARF1	HGNC:16820
TTYH1	HGNC:13476
MAPT-AS1	HGNC:43738
LINC02210-CRHR1	HGNC:51483
MAPK8IP1P1	HGNC:6885
LRRC37A4P	HGNC:25479
NDUFB9P1	HGNC:52269
NSF	HGNC:8016
PRH2	HGNC:9367
ARHGAP11A	HGNC:15783
TRBV11-1	HGNC:12180
TAF9	HGNC:11542
TRBV7-6	HGNC:12240
LINC02688	HGNC:54184
TRBV10-1	HGNC:12177
TRBV5-2	HGNC:12219
TRBV7-4	HGNC:12238
TRBV5-5	HGNC:12222
LINC01194	HGNC:37171
TRBV11-3	HGNC:12182
TAS2R30	HGNC:19112
TRBV1	HGNC:12176
TRBV19	HGNC:12194
TAS2R19	HGNC:19108
TRBV12-4	HGNC:12186
LINC02569	HGNC:39760
TAS2R8	HGNC:14915
OR2J4P	HGNC:8262
TRBV7-1	HGNC:12235
HCG18	HGNC:31337
TAS2R7	HGNC:14913
TRBV25-1	HGNC:12205
LRRC37A2	HGNC:32404
IGKV1D-8	HGNC:5759
TRBV17	HGNC:12192
IGKV3D-7	HGNC:5829
TAS2R50	HGNC:18882
TRBV5-3	HGNC:12220
HNRNPA1P2	HGNC:13958
TRBV7-9	HGNC:12243
TAS2R43	HGNC:18875
STK19	HGNC:11398
TAS2R14	HGNC:14920
TRBV5-7	HGNC:12224
IGKV1OR2-118	HGNC:37488
TRBV27	HGNC:12208
TAS2R9	HGNC:14917
TRBV7-2	HGNC:12236
TRBV21-1	HGNC:12198
TRPV5	HGNC:3145
TAS2R45	HGNC:18876
TAS2R31	HGNC:19113
TAS2R13	HGNC:14919
RAD17	HGNC:9807
IGLV3-31	HGNC:5913
TAS2R46	HGNC:18877
KSR1P1	HGNC:44977
IGLV1-40	HGNC:5877
IGKV1OR10-1	HGNC:44978
TAS2R20	HGNC:19109
PABPC1P8	HGNC:37988
TAS2R15P	HGNC:19106
OR2AD1P	HGNC:14749
ASH2LP1	HGNC:19332
MAS1L	HGNC:13961
PRR4	HGNC:18020
IGLV3-30	HGNC:5912
OR2H2	HGNC:8253
IGLV1-44	HGNC:5879
IGLV3-32	HGNC:5914
ATAT1	HGNC:21186
ZNF280B	HGNC:23022
ARMC10	HGNC:21706
DDR1-DT	HGNC:28694
NEU1	HGNC:7758
KCNQ1	HGNC:6294
IGLVI-38	HGNC:5935
HCG17	HGNC:31339
IGLV2-34	HGNC:5893
IGLV5-37	HGNC:5922
TRPM1	HGNC:7146
IGLV7-43	HGNC:5929
IGLVVII-41-1	HGNC:15691
IGLVI-42	HGNC:5936
IGLV1-41	HGNC:5878
PLEKHM1	HGNC:29017
IGLV1-36	HGNC:5876
ZNF280A	HGNC:18597
KCNQ1-AS1	HGNC:42790
TLCD2	HGNC:33522
IGLV2-33	HGNC:5892
NAP1L4	HGNC:7640
IGLV5-45	HGNC:5924
PRAME	HGNC:9336
WDR81	HGNC:26600
RPL23AP95	HGNC:51630
DPY19L2P2	HGNC:21764
HLA-DQB1-AS1	HGNC:39762
TRIM39	HGNC:10065
MYOM2	HGNC:7614
MAPT	HGNC:6893
SMIM10L1	HGNC:49847
TAS2R64P	HGNC:20642
TAS2R10	HGNC:14918
TAS2R63P	HGNC:20641
TRBV12-5	HGNC:12187
RPP21	HGNC:21300
TRBJ2-2P	HGNC:12170
LY6G5C	HGNC:13932
PRSS3P3	HGNC:43790
TRBJ1-6	HGNC:12167
TRBJ1-5	HGNC:12166
TRBV11-2	HGNC:12181
TRBV20-1	HGNC:12196
CRHR1	HGNC:2357
TRBV10-2	HGNC:12178
LLCFC1	HGNC:21750
NAPEPLD	HGNC:21683
TRBV9	HGNC:12246
PRSS3P1	HGNC:43787
TRBC1	HGNC:12156
TRBJ2-1	HGNC:12168
HSPA1A	HGNC:5232
LILRB5	HGNC:6609
OR2P1P	HGNC:8272
UBDP1	HGNC:18796
HLA-F-AS1	HGNC:26645
TRPV6	HGNC:14006
HSPA1L	HGNC:5234
GPSM3	HGNC:13945
IGLV7-35	HGNC:5928
SCGB1C2	HGNC:51242
C22orf15	HGNC:15558
OR2I1P	HGNC:8258
TSBP1-AS1	HGNC:39756
HLA-B	HGNC:4932
LINC02091	HGNC:52942
KRT31	HGNC:6448
RXRB	HGNC:10478
CABIN1	HGNC:24187
SMARCB1	HGNC:11103
AZU1	HGNC:913
TBC1D3P7	HGNC:43569
SLC43A2	HGNC:23087
KRT33A	HGNC:6450
CRYZP1	HGNC:2421
MICC	HGNC:7092
LSM2	HGNC:13940
KRT37	HGNC:6455
PRTN3	HGNC:9495
KRTAP16-1	HGNC:18916
KRT34	HGNC:6452
TRBV6-7	HGNC:12232
KRTAP17-1	HGNC:18917
PRSS2	HGNC:9483
KRT33B	HGNC:6451
TRBV7-3	HGNC:12237
ZBED9	HGNC:13851
TRBV18	HGNC:12193
CCL4L2	HGNC:24066
MOXD2P	HGNC:33605
OR12D2	HGNC:8178
PLPPR3	HGNC:23497
PRSS1	HGNC:9475
KRT18P1	HGNC:6434
PRRT1	HGNC:13943
ATP6V1G3	HGNC:18265
MED16	HGNC:17556
CLIC1	HGNC:2062
LENG8	HGNC:15500
TJP1	HGNC:11827
CCL3-AS1	HGNC:55229
TBC1D3I	HGNC:32709
TRBV23-1	HGNC:12201
PTPRC	HGNC:9666
LY6G6E	HGNC:13934
TRBV5-4	HGNC:12221
PRSS3P2	HGNC:43788
KBTBD11-AS1	HGNC:55530
MIF	HGNC:7097
KBTBD11	HGNC:29104
OR6V1	HGNC:15090
HCG21	HGNC:31335
MRPS18B	HGNC:14516
OR9P1P	HGNC:15097
PGBD4P1	HGNC:44066
TRBJ1-4	HGNC:12165
DOC2B	HGNC:2986
MGAM2	HGNC:28101
HLA-DOB	HGNC:4937
LINC03021	HGNC:56149
ARHGEF10	HGNC:14103
DERL3	HGNC:14236
ELANE	HGNC:3309
LINC02887	HGNC:55047
RILP	HGNC:30266
CFD	HGNC:2771
HLA-DRB3	HGNC:4951
OR9A2	HGNC:15093
TRBV13	HGNC:12188
MIR22HG	HGNC:28219
TRBV28	HGNC:12209
LINC01149	HGNC:39757
MCCD1P2	HGNC:33462
TRBJ2-2	HGNC:12169
SLC2A11	HGNC:14239
EPHB6	HGNC:3396
CDKN1C	HGNC:1786
CCL3L1	HGNC:10628
CCL3L3	HGNC:30554
CARS1-AS1	HGNC:40125
OR12D3	HGNC:13963
COX6CP18	HGNC:49370
DDX39BP2	HGNC:33461
SLC22A18	HGNC:10964
TBC1D3B	HGNC:27011
TSBP1	HGNC:13922
ARL17B	HGNC:32387
PRPF8	HGNC:17340
CCL18	HGNC:10616
PSORS1C2	HGNC:17199
HCP5	HGNC:21659
SALL3	HGNC:10527
GOLGA8J	HGNC:38650
PEBP1P3	HGNC:44345
TCF19	HGNC:11629
LINC01896	HGNC:52715
GREM1	HGNC:2001
ATP9B	HGNC:13541
CHRNA7	HGNC:1960
CES1P1	HGNC:18546
CDK7	HGNC:1778
NCR3	HGNC:19077
CES5A	HGNC:26459
FAN1	HGNC:29170
PSORS1C3	HGNC:17203
SLC22A18AS	HGNC:10965
KCNQ1DN	HGNC:13335
SNORA54	HGNC:32647
SAPCD1	HGNC:13938
ETF1P1	HGNC:3478
HLA-P	HGNC:21196
SCG5	HGNC:10816
TRBV6-5	HGNC:12230
TRBV14	HGNC:12189
TRBV12-1	HGNC:12183
BRD2	HGNC:1103
TRBV4-2	HGNC:12216
TRBV5-1	HGNC:12218
MTMR10	HGNC:25999
TRBJ2-6	HGNC:12174
AGPAT1	HGNC:324
TRBV7-7	HGNC:12241
TRBV2	HGNC:12195
KLF13	HGNC:13672
MGAM	HGNC:7043
DDAH2	HGNC:2716
GSDMD	HGNC:25697
HLA-W	HGNC:23425
TNXA	HGNC:11975
MTCO3P1	HGNC:31342
HLA-DRB4	HGNC:4952
TRBV16	HGNC:12191
TRBVB	HGNC:12248
TRBV6-1	HGNC:12226
KANSL1	HGNC:24565
CCL3	HGNC:10627
PRSS58	HGNC:39125
NCF4-AS1	HGNC:40393
NCF4	HGNC:7662
TRBV24-1	HGNC:12203
POLR1H	HGNC:13182
TRBJ2-7	HGNC:12175
TRBJ1-3	HGNC:12164
TRBVA	HGNC:12247
TRBV26	HGNC:12207
OR6W1P	HGNC:15091
TRBV4-1	HGNC:12215
TRBC2	HGNC:12157
CUBNP2	HGNC:44984
MARCHF8	HGNC:23356
TRBV8-1	HGNC:12244
TRBV22-1	HGNC:12200
TRBV10-3	HGNC:12179
TRBJ1-1	HGNC:12162
TRBJ2-3	HGNC:12171
CCL4	HGNC:10630
OR6D1P	HGNC:14849
TRBV7-5	HGNC:12239
TRBJ2-5	HGNC:12173
LINC01238	HGNC:49795
ANKRD30BP3	HGNC:27873
TRBV5-6	HGNC:12223
OR13A1	HGNC:14772
TRBV12-2	HGNC:12184
TRBV6-4	HGNC:12229
ALOX5	HGNC:435
TRBJ1-2	HGNC:12163
TRBD1	HGNC:12158
SERPINF2	HGNC:9075
TRBJ2-4	HGNC:12172
TRBV6-2	HGNC:12227
PVALB	HGNC:9704
TRBV30	HGNC:12214
RN7SL301P	HGNC:46317
TRBV12-3	HGNC:12185
RPL13AP	HGNC:13977
TRBV3-1	HGNC:12212
TRBV8-2	HGNC:12245
WBP1LP1	HGNC:43948
GNL1	HGNC:4413
TRBV6-8	HGNC:12233
TRBV29-1	HGNC:12210
TRBV6-6	HGNC:12231
TRBV15	HGNC:12190
KEL	HGNC:6308
CDC42EP5	HGNC:17408
HLA-DQB3	HGNC:4946
TAP1	HGNC:43
CES1	HGNC:1863
LRRC37A	HGNC:29069
ZC3H3	HGNC:28972
PYCR3	HGNC:25846
RN7SL105P	HGNC:46121
RPL15P4	HGNC:21663
TRIM26	HGNC:12962
VWA7	HGNC:13939
LRRC37A3	HGNC:32427
EGFL8	HGNC:13944
TAMM41	HGNC:25187
EEF1D	HGNC:3211
RNU6-1207P	HGNC:48170
TNXB	HGNC:11976
OR2H1	HGNC:8252
TRIM15	HGNC:16284
